New              | 新增    | plus         | primary
Edit             | 编辑    | edit         | primary
Delete           | 删除    | delete       | danger
DeleteM          | 批量删除 | delete      | danger
Import           | 导入    | import       | primary
Export           | 导出    | export       | primary
Copy             | 复制    | copy         | primary
Move             | 移动    | drag         | primary
MoveUp           | 上移    | up           | primary
MoveDown         | 下移    | down         | primary
Enable           | 启用    | check-circle | primary
Disable          | 禁用    | close-circle | primary
Print            | 打印    | printer      | primary
OK               | 确定    | check        | primary
Cancel           | 取消    | close        | 

Submit           | 提交    | send         | primary
Revoke           | 撤回    | undo         | primary
Assign           | 分配    | user-switch  | primary
Verify           | 审核    | check        | primary
Pass             | 审核通过 | check-circle | primary
Return           | 审核退回 | close-circle | primary
Reapply          | 重新申请 | redo         | primary

ResetPassword    | 重置密码 | lock        | primary
ChangeDepartment | 更换部门 | user-switch | primary
AddCategory      | 添加类别 | plus-circle | primary
